id_region;groupeRegion;nomRegion
1;Province;Auvergne-Rhône-Alpes
2;Province;Hauts-de-France
3;Province;Provence-Alpes-Côte d'Azur
4;Province;Grand Est
5;Province;Occitanie
6;Province;Normandie
7;Province;Nouvelle-Aquitaine
8;Province;Centre-Val de Loire
9;Province;Bourgogne-Franche-Comté
10;Province;Bretagne
11;Province;Pays de la Loire
12;Ile-de-France;Ile-de-France
13;DROM-COM;Guadeloupe
14;DROM-COM;Martinique
15;DROM-COM;Guyane
16;DROM-COM;La Réunion
17;DROM-COM;Collectivités d'outre-mer
18;DROM-COM;Mayotte
19;Province;Corse
